id,product_affiliate_id,product_code,product_status,product_site_name,product_site_estoque,product_site_ean,product_site_fabricacao,product_site_description,product_site_categories,product_site_tags,product_site_variations,product_site_info,product_site_nutrition,product_site_value,product_site_discount_value,product_site_discount_type,product_sell_by_weight,product_average_weight_value,product_average_weight_type,product_site_related_title,product_site_related_type,product_site_related_code,createdAt,updatedAt
2172,99,57,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO NINJA BRANCA - UNIDADE",-9,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2173,99,58,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO PINCA PRETA - UNIDADE",235,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2174,99,60,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO PINCA BRANCA - UNIDADE",-56,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2175,99,61,inactive,"FAIXA PARABENS CORINTHIANS UN-GRINTOY",0,7898337089170,TERCEIRO,NULL,"FESTA,TEMAS,CORINTHIANS",NULL,NULL,NULL,NULL,33.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2176,99,62,inactive,"COLHER DE MADEIRA 20X50UN-THEOTO",0,,TERCEIRO,NULL,"DESCARTAVEIS,TALHERES,TALHERES",NULL,NULL,NULL,NULL,96.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2177,99,64,inactive,"GUARDANAPO DE PAPEL 20X22CM LARANJA C/50UN-LUIGI",0,7898014530155,TERCEIRO,NULL,"DESCARTAVEIS,TOALHAS E GUARDANAPOS,TOALHAS E GUARDANAPOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2178,99,65,inactive,"P-500 POTE MARMITEX S/TAMPA 142X58MM C/100UN-TOTALPLAST",-5,,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ DELIVERY,EMB. P/ DELIVERY",NULL,NULL,NULL,NULL,29.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,FD,NULL,NULL,NULL,NULL,NULL
2179,99,66,inactive,"GUARDANAPO DE PAPEL 20X22CM SALMAO C/50UN-LUIGI",0,7898014530162,TERCEIRO,NULL,"DESCARTAVEIS,TOALHAS E GUARDANAPOS,TOALHAS E GUARDANAPOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2180,99,67,inactive,"FORMA 4 PET BC C/50UN-PACK",193,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2181,99,68,inactive,"PASSA CERA PLASTICO C/RODO-VASSOURAS EMBU",15,7898912692184,TERCEIRO,NULL,"HIGIENE E LIMPEZA,UTENSILIOS DE LIMPEZA,UTENSILIOS DE LIMPEZA",NULL,NULL,NULL,NULL,10.39,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2182,99,69,inactive,"ALCOOL ETILICO HIDRATADO 70§ 500ML-REFRIKO",6,7898942055157,TERCEIRO,NULL,"HIGIENE E LIMPEZA,PRODUTOS DE LIMPEZA,PRODUTOS DE LIMPEZA",NULL,NULL,NULL,NULL,6.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2183,99,70,inactive,"BALA BUTTER TOFFEES LEITE CONDENSADO C/600GR-ARCOR",0,7891118015481,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,14.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2184,99,71,inactive,"SACOLA CRISTAL 35X45CM-KG",106,,PRÓPRIA,NULL,"EMBALAGENS,SACOS E SACOLAS PLASTICAS,SACOS E SACOLAS PLASTICAS",NULL,NULL,NULL,NULL,18.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,KG,NULL,NULL,NULL,NULL,NULL
2185,99,72,inactive,"PRATO P/BOLO MINNIE CORACAO C/08UN-REGINA",0,7891175184762,TERCEIRO,NULL,"FESTA,TEMAS,MINNIE",NULL,NULL,NULL,NULL,27.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2186,99,73,inactive,"GA13 LEVA DOCE QUADRADO CRISTAL C/100UN-GALVANOTEK",2.4,7897511732147,TERCEIRO,NULL,"EMBALAGENS,PLASTICAS,PLASTICAS",NULL,NULL,NULL,NULL,92.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2187,99,75,inactive,"FORMA 4 PETALAS FESTA NA CAIXA C/50UN-PACKAGING WORKS",-50,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2188,99,76,inactive,"FOLHA CHUMBO 8X7,8CM ASTRAL VERMELHO/OURO C/300UN-CROMUS",0,7909107945937,TERCEIRO,NULL,"CONFEITARIA,UTENSILIOS DE CONFEITARIA,UTENSILIOS DE CONFEITARIA",NULL,NULL,NULL,NULL,11.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2189,99,77,inactive,"PRATO TABULEIRO LAMINADO N.07 C/100UN-NIAGARA",0,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,189.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,FD,NULL,NULL,NULL,NULL,NULL
2190,99,78,inactive,"SACO METAL 15X22CM C/100UN-CROMUS",-2,7899146608927,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ PRESENTE,EMB. P/ PRESENTE",NULL,NULL,NULL,NULL,18.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2191,99,79,inactive,"GUARDANAPO DE PAPEL 20X22CM ROSA C/50UN-LUIGI",-1,7898014530087,TERCEIRO,NULL,"DESCARTAVEIS,TOALHAS E GUARDANAPOS,TOALHAS E GUARDANAPOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2192,99,80,inactive,"FORMA 4 PETALAS CORACAO C/50UN-PACKAGING WORKS",-112,,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2193,99,81,inactive,"G56 S TORTA PEQUENA SUPREMA PRETA 2,2KG UN-GALVANOTEK",-5,,TERCEIRO,NULL,"EMBALAGENS,PLASTICAS,PLASTICAS",NULL,NULL,NULL,NULL,8.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2194,99,82,inactive,"PA DE LIXO ZINCADA CABO CURTO UN-",4,7897788813082,TERCEIRO,NULL,"HIGIENE E LIMPEZA,UTENSILIOS DE LIMPEZA,UTENSILIOS DE LIMPEZA",NULL,NULL,NULL,NULL,6.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2195,99,83,inactive,"SACO METAL 15X22CM UNIDADE-CROMUS",0,,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ PRESENTE,EMB. P/ PRESENTE",NULL,NULL,NULL,NULL,0.59,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2196,99,85,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO NINJA VERMELHA - UNIDAD",-4,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2197,99,86,inactive,"GA13 LEVA DOCE QUADRADO CRISTAL C/10UN-GALVANOTEK",-10,,TERCEIRO,NULL,"EMBALAGENS,PLASTICAS,PLASTICAS",NULL,NULL,NULL,NULL,11.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2198,99,87,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO NINJA AZUL - UNIDADE",-247,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2199,99,88,inactive,"SACO LICENCIADO 30X44CM UNIDADE-CROMUS",-28,,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ PRESENTE,EMB. P/ PRESENTE",NULL,NULL,NULL,NULL,1.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2200,99,89,inactive,"CHICLE POOSH GAMER C/200GR-ARCOR",7,7891118025251,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,6.19,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2201,99,90,inactive,"FUNDO RENDADO 9CM INCOLOR C/100UN-CROMUS",35,7899023420482,TERCEIRO,NULL,"CONFEITARIA,UTENSILIOS DE CONFEITARIA,UTENSILIOS DE CONFEITARIA",NULL,NULL,NULL,NULL,3.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2202,99,91,inactive,"MOBILE ESPIRAL BRANCA DE NEVE REF.1541-PIFFER",0,7899061423490,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,3.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2203,99,92,inactive,"GRANULADO CROCANTE C/500GR-MIL CORES",-18,7896072642735,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,COBER. E ACABAM. P/CONFEITARIA",NULL,NULL,NULL,NULL,8.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2204,99,93,inactive,"COPO PIC-040ML CRISTAL 100X10UN-PLASTILANIA",0.48,7898234371330,TERCEIRO,NULL,"DESCARTAVEIS,COPOS,COPOS",NULL,NULL,NULL,NULL,335.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2205,99,94,inactive,"COPO PIC-040ML CRISTAL C/10UN-PLASTILANIA",1,7898234370012,TERCEIRO,NULL,"DESCARTAVEIS,COPOS,COPOS",NULL,NULL,NULL,NULL,4.09,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2206,99,95,inactive,"PAPEL LAMINADO 45X59CM AZUL C/40UN-CROMUS",-0.6,7899440903483,TERCEIRO,NULL,"CONFEITARIA,UTENSILIOS DE CONFEITARIA,UTENSILIOS DE CONFEITARIA",NULL,NULL,NULL,NULL,53.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2207,99,96,inactive,"TRIDENT CEREJA C/21UN",0,7895800438022,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,31.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2208,99,97,inactive,"TRIDENT CEREJA UNIDADE",0,7895800304143,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,2.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2209,99,98,inactive,"HALLS MENTA C/21UN",0,7895800169049,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,20.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2210,99,99,inactive,"FONDANT C/500GR-MIX",0,7897011501618,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,PASTAS",NULL,NULL,NULL,NULL,8.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2211,99,100,inactive,"HALLS MENTA UNIDADE",0,7895800303320,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,1.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2212,99,101,inactive,"PAINEL PEQUENO BEN 10 MAO P/CIMA UN-GRINTOY",0,7898337088814,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,7.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2213,99,102,inactive,"HALLS MENTHOL UNIDADE",0,7895800300381,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,1.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2214,99,103,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO NINJA PINK - UNIDADE",-35,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2215,99,104,inactive,"CHICLE POOSH UVA C/200GR-ARCOR",-10,7891118013616,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,7.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2216,99,105,inactive,"LANCA CONFETE KIDS POPPER 11CM C/04UN-POPPER",36,9198266521351,TERCEIRO,NULL,"FESTA,DECORACAO / ACESSORIOS,DECORACAO / ACESSORIOS",NULL,NULL,NULL,NULL,23.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2217,99,107,inactive,"SACO ALVEJADO BRANCO 42X66CM UN-LM",0,7898907777711,TERCEIRO,NULL,"HIGIENE E LIMPEZA,UTENSILIOS DE LIMPEZA,UTENSILIOS DE LIMPEZA",NULL,NULL,NULL,NULL,3.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2218,99,108,inactive,"COLORETI FESTA TRADICIONAL C/18GR-JAZAM",-519,7896383074010,TERCEIRO,NULL,"ALIMENTICIOS,DOCES,DOCES",NULL,NULL,NULL,NULL,1.39,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2219,99,109,inactive,"SACO 45X59CM INCOLOR C/25UN-CROMUS",40.04,7899023462994,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ PRESENTE,EMB. P/ PRESENTE",NULL,NULL,NULL,NULL,24.39,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2220,99,110,inactive,"SACO 45X59CM INCOLOR C/02UN-CROMUS",-12,,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ PRESENTE,EMB. P/ PRESENTE",NULL,NULL,NULL,NULL,4.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2221,99,111,inactive,"G32 M TORTA MINI 750GR BRANCA UN-GALVANOTEK",0,,TERCEIRO,NULL,"EMBALAGENS,PLASTICAS,PLASTICAS",NULL,NULL,NULL,NULL,1.39,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2222,99,112,inactive,"FUNDO RENDADO 30X38CM FRANCESA BRANCO C/05UN-CROMUS",-48,,TERCEIRO,NULL,"CONFEITARIA,UTENSILIOS DE CONFEITARIA,UTENSILIOS DE CONFEITARIA",NULL,NULL,NULL,NULL,1.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
2223,99,113,inactive,"PAPEL KRAFT 59X80CM C/50UN-CROMUS",0,,TERCEIRO,NULL,"EMBALAGENS,PAPEL,PAPEL",NULL,NULL,NULL,NULL,19.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PC,NULL,NULL,NULL,NULL,NULL
